alpha,N_species,w,leading_eigenvalue,extinction_counter,attempt_counter
-2.375000,10.000000,0.650000,-0.354980,0.000000,1.000000
-2.375000,10.000000,0.700000,-0.342050,0.000000,1.000000
-2.375000,10.000000,0.200000,-0.497816,0.000000,1.000000
-2.375000,10.000000,0.850000,-0.292962,0.000000,1.000000
-2.375000,10.000000,1.000000,-0.246598,0.000000,1.000000
-2.375000,10.000000,0.950000,-0.261193,0.000000,1.000000
-2.375000,10.000000,0.800000,-0.310594,0.000000,1.000000
-2.375000,10.000000,0.750000,-0.328180,0.000000,1.000000
-2.375000,10.000000,0.000000,-0.572974,0.000000,1.000000
-2.375000,10.000000,0.450000,-0.412771,0.000000,1.000000
-2.375000,10.000000,0.100000,-0.534744,0.000000,1.000000
-2.375000,10.000000,0.400000,-0.428719,0.000000,1.000000
-2.375000,10.000000,0.500000,-0.397411,0.000000,1.000000
-2.375000,10.000000,0.600000,-0.368498,0.000000,1.000000
-2.375000,10.000000,0.900000,-0.276594,0.000000,1.000000
-2.375000,10.000000,0.050000,-0.553656,0.000000,1.000000
-2.375000,25.000000,0.550000,-0.347042,0.000000,1.000000
-2.375000,25.000000,0.650000,-0.287900,0.000000,1.000000
-2.375000,25.000000,0.900000,-0.178575,0.000000,1.000000
-2.375000,25.000000,1.000000,-0.147253,0.000000,1.000000
-2.375000,25.000000,0.600000,-0.316872,0.000000,1.000000
-2.375000,25.000000,0.400000,-0.443728,0.000000,1.000000
-2.375000,10.000000,0.250000,-0.479846,0.000000,1.000000
-2.375000,25.000000,0.700000,-0.261649,0.000000,1.000000
-2.375000,25.000000,0.250000,-0.561626,0.000000,1.000000
-2.375000,25.000000,0.950000,-0.162213,0.000000,1.000000
-2.375000,25.000000,0.350000,-0.481430,0.000000,1.000000
-2.375000,25.000000,0.050000,-0.746688,0.000000,1.000000
-2.375000,25.000000,0.200000,-0.603975,0.000000,1.000000
-2.375000,10.000000,0.150000,-0.516133,0.000000,1.000000
-2.375000,25.000000,0.150000,-0.648501,0.000000,1.000000
-2.375000,25.000000,0.500000,-0.375933,0.000000,1.000000
-2.375000,25.000000,0.850000,-0.196506,0.000000,1.000000
-2.375000,10.000000,0.350000,-0.445238,0.000000,1.000000
-2.375000,10.000000,0.550000,-0.382650,0.000000,1.000000
-2.375000,25.000000,0.450000,-0.408384,0.000000,1.000000
-2.375000,10.000000,0.300000,-0.462297,0.000000,1.000000
-2.375000,25.000000,0.750000,-0.237828,0.000000,1.000000
-2.375000,25.000000,0.300000,-0.520830,0.000000,1.000000
-2.375000,25.000000,0.800000,-0.216189,0.000000,1.000000
-2.375000,50.000000,0.650000,-0.177654,0.000000,1.000000
-2.375000,50.000000,0.850000,-0.093959,0.000000,1.000000
-2.375000,50.000000,0.950000,-0.069398,0.000000,1.000000
-2.375000,25.000000,0.100000,-0.696776,0.000000,1.000000
-2.375000,50.000000,1.000000,-0.060107,0.000000,1.000000
-2.375000,50.000000,0.450000,-0.327630,0.000000,1.000000
-2.375000,50.000000,0.400000,-0.382488,0.000000,1.000000
-2.375000,50.000000,0.900000,-0.080590,0.000000,1.000000
-2.375000,50.000000,0.800000,-0.109833,0.000000,1.000000
-2.375000,25.000000,0.000000,-0.800951,0.000000,1.000000
-2.375000,50.000000,0.500000,-0.281410,0.000000,1.000000
-2.375000,50.000000,0.300000,-0.516077,0.000000,1.000000
-2.375000,50.000000,0.200000,-0.687878,0.000000,1.000000
-2.375000,50.000000,0.550000,-0.242166,0.000000,1.000000
-2.375000,50.000000,0.700000,-0.150874,0.000000,1.000000
-2.375000,50.000000,0.250000,-0.598656,0.000000,1.000000
-2.375000,50.000000,0.000000,-1.110113,0.000000,1.000000
-2.375000,50.000000,0.150000,-0.782584,0.000000,1.000000
-2.375000,50.000000,0.350000,-0.447599,0.000000,1.000000
-2.375000,50.000000,0.050000,-0.976229,0.000000,1.000000
-2.375000,50.000000,0.600000,-0.208701,0.000000,1.000000
-2.375000,50.000000,0.750000,-0.128619,0.000000,1.000000
-2.375000,50.000000,0.100000,-0.869464,0.000000,1.000000
-2.375000,100.000000,0.000000,-1.837447,0.000000,1.000000
-2.125000,10.000000,0.100000,-0.555111,0.000000,1.000000
-2.125000,10.000000,0.400000,-0.481381,0.000000,1.000000
-2.125000,10.000000,0.000000,-0.633239,0.000000,1.000000
-2.125000,10.000000,0.200000,-0.556170,0.000000,1.000000
-2.125000,10.000000,0.250000,-0.537337,0.000000,1.000000
-2.125000,10.000000,0.500000,-0.442122,0.000000,1.000000
-2.125000,10.000000,0.700000,-0.375330,0.000000,1.000000
-2.125000,10.000000,0.650000,-0.392410,0.000000,1.000000
-2.125000,10.000000,0.300000,-0.519499,0.000000,1.000000
-2.125000,10.000000,0.450000,-0.465902,0.000000,1.000000
-2.125000,10.000000,0.350000,-0.500141,0.000000,1.000000
