Unique_ID,Taxa,Ecosystem,x_gm,y_gm,Reference,Group,Lat,Lon,Year,Plot_name,Notes
1,Mixed grass community,"Pilani, India",220,278,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,28.37,75.6,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
2,Sehima nervosum community,"Ratlam, India",1827,832,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,23.33,75.05,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
3,Sehima nervosum community,"Jhansi, India",1967,1516,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,25.44,78.57,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
4,Mixed grass community,"Kurukshetra, India",2001,1402,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,30,76.45,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
5,Dichanthelium annulatum grassland,"Ujjain, India",2227,984,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,23.4,75.7,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
6,Mixed prairie,"Cottonwood, South Dakota, USA",2273,702,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,44,-101.9,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
7,Heteropogon contortus community,"Sagar, India",2904,1851,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,23.82,78.74,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
8,Flooding Pampa,Argentina,2958,1028,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,-40,-63,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
9,Mixed prairie,"Matador, Canada",3211,1124,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,50.79,-107.9,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
10,Mixed prairie,"Hays, Kansas, USA",3211,710,"Coupland 1993 8B; p. 472 for biomass and p. 477 for production. Also reproduced in Gibson 2009, p. 134",Grass,38.88,-99.36,,Grass total production (g/m2/yr) vs total biomass (g/m2) global ,
