alpha,N_species,w,mean_leading_eigenvalue,extinction_counter, attempt_counter
-2.125000,10.000000,0.150000,-0.630558,0.000000,1.000000
-2.125000,10.000000,0.000000,-0.724999,0.000000,1.000000
-2.125000,10.000000,0.200000,-0.602565,0.000000,1.000000
-2.125000,10.000000,0.050000,-0.691644,0.000000,1.000000
-2.125000,10.000000,0.250000,-0.576108,0.000000,1.000000
-2.125000,10.000000,0.100000,-0.660207,0.000000,1.000000
-2.125000,10.000000,0.550000,-0.443960,0.000000,1.000000
-2.125000,10.000000,0.400000,-0.504877,0.000000,1.000000
-2.125000,10.000000,0.650000,-0.408367,0.000000,1.000000
-2.125000,10.000000,0.300000,-0.551075,0.000000,1.000000
-2.125000,10.000000,0.750000,-0.375445,0.000000,1.000000
-2.125000,10.000000,0.700000,-0.391389,0.000000,1.000000
-2.125000,10.000000,0.900000,-0.331722,0.000000,1.000000
-2.125000,10.000000,0.850000,-0.345640,0.000000,1.000000
-2.125000,10.000000,0.450000,-0.483533,0.000000,1.000000
-2.125000,10.000000,1.000000,-0.305412,0.000000,1.000000
-2.125000,10.000000,0.950000,-0.317159,0.000000,1.000000
-2.125000,10.000000,0.800000,-0.360209,0.000000,1.000000
-2.125000,10.000000,0.350000,-0.527362,0.000000,1.000000
-2.125000,10.000000,0.500000,-0.463251,0.000000,1.000000
-2.125000,10.000000,0.600000,-0.425592,0.000000,1.000000
-2.125000,25.000000,0.300000,-0.589969,0.000000,1.000000
-2.125000,25.000000,0.200000,-0.708456,0.000000,1.000000
-2.125000,25.000000,0.150000,-0.779503,0.000000,1.000000
-2.125000,25.000000,0.100000,-0.860629,0.000000,1.000000
-2.125000,25.000000,0.600000,-0.358065,0.000000,1.000000
-2.125000,25.000000,0.450000,-0.455792,0.000000,1.000000
-2.125000,25.000000,0.750000,-0.284646,0.000000,1.000000
-2.125000,25.000000,0.700000,-0.306963,0.000000,1.000000
-2.125000,25.000000,0.050000,-0.954052,0.000000,1.000000
-2.125000,25.000000,0.400000,-0.495739,0.000000,1.000000
-2.125000,25.000000,0.250000,-0.645526,0.000000,1.000000
-2.125000,25.000000,0.900000,-0.227832,0.000000,1.000000
-2.125000,25.000000,0.550000,-0.387450,0.000000,1.000000
-2.125000,25.000000,0.500000,-0.419876,0.000000,1.000000
-2.125000,25.000000,0.350000,-0.540419,0.000000,1.000000
-2.125000,25.000000,0.850000,-0.245275,0.000000,1.000000
-2.125000,25.000000,0.650000,-0.331344,0.000000,1.000000
-2.125000,25.000000,0.800000,-0.264152,0.000000,1.000000
-2.125000,25.000000,0.950000,-0.211664,0.000000,1.000000
-2.125000,25.000000,0.000000,-1.062910,0.000000,1.000000
-2.125000,25.000000,1.000000,-0.198349,0.000000,1.000000
-2.125000,50.000000,0.000000,-1.511642,0.000000,1.000000
-2.125000,50.000000,0.750000,-0.202012,0.000000,1.000000
-2.125000,50.000000,0.050000,-1.232421,0.000000,1.000000
-2.125000,50.000000,0.300000,-0.555859,0.000000,1.000000
-2.125000,50.000000,0.800000,-0.183283,0.000000,1.000000
-2.125000,50.000000,0.200000,-0.740315,0.000000,1.000000
-2.125000,50.000000,0.100000,-1.026701,0.000000,1.000000
-2.125000,50.000000,0.400000,-0.430078,0.000000,1.000000
-2.125000,50.000000,0.650000,-0.246806,0.000000,1.000000
-2.125000,50.000000,0.500000,-0.339267,0.000000,1.000000
-2.125000,50.000000,0.700000,-0.223046,0.000000,1.000000
-2.125000,50.000000,0.450000,-0.381650,0.000000,1.000000
-2.125000,50.000000,0.550000,-0.304706,0.000000,1.000000
-2.125000,50.000000,0.350000,-0.487358,0.000000,1.000000
-2.125000,50.000000,0.150000,-0.866424,0.000000,1.000000
-2.125000,50.000000,0.250000,-0.638867,0.000000,1.000000
-2.125000,50.000000,0.850000,-0.166513,0.000000,1.000000
-2.125000,50.000000,0.950000,-0.137749,0.000000,1.000000
-2.125000,50.000000,0.600000,-0.273810,0.000000,1.000000
-1.875000,10.000000,0.000000,-0.755319,0.000000,1.000000
-2.125000,50.000000,0.900000,-0.150459,0.000000,1.000000
-2.125000,50.000000,1.000000,-0.125311,0.000000,1.000000
-2.125000,100.000000,0.800000,-0.111882,0.000000,1.000000
-1.875000,10.000000,0.050000,-0.722228,0.000000,1.000000
-1.875000,10.000000,0.250000,-0.611952,0.000000,1.000000
-2.125000,100.000000,0.000000,-2.233783,0.000000,1.000000
-1.875000,10.000000,0.400000,-0.541952,0.000000,1.000000
-2.125000,100.000000,0.050000,-1.533844,0.000000,1.000000
-2.125000,100.000000,0.850000,-0.099893,0.000000,1.000000
-1.875000,10.000000,0.500000,-0.500775,0.000000,1.000000
-1.875000,10.000000,1.000000,-0.344045,0.000000,1.000000
-1.875000,10.000000,0.350000,-0.564010,0.000000,1.000000
-1.875000,10.000000,0.750000,-0.413596,0.000000,1.000000
-1.875000,10.000000,0.950000,-0.356793,0.000000,1.000000
-1.875000,10.000000,0.300000,-0.587056,0.000000,1.000000
-1.875000,10.000000,0.200000,-0.636757,0.000000,1.000000
-1.875000,10.000000,0.550000,-0.482861,0.000000,1.000000
-1.875000,10.000000,0.150000,-0.664129,0.000000,1.000000
-1.875000,10.000000,0.100000,-0.692119,0.000000,1.000000
-1.875000,10.000000,0.800000,-0.398450,0.000000,1.000000
