alpha,N_species,w,mean_leading_eigenvalue,extinction_counter, attempt_counter
-2.125000,10.000000,0.250000,-0.454253,0.000000,1.000000
-2.125000,10.000000,0.350000,-0.450598,0.000000,1.000000
-2.125000,10.000000,0.150000,-0.457392,0.000000,1.000000
-2.125000,10.000000,0.450000,-0.446940,0.000000,1.000000
-2.125000,10.000000,0.000000,-0.462367,0.000000,1.000000
-2.125000,10.000000,0.500000,-0.445111,0.000000,1.000000
-2.125000,10.000000,0.200000,-0.455754,0.000000,1.000000
-2.125000,10.000000,0.700000,-0.437242,0.000000,1.000000
-2.125000,10.000000,0.100000,-0.459049,0.000000,1.000000
-2.125000,10.000000,0.050000,-0.460709,0.000000,1.000000
-2.125000,10.000000,0.600000,-0.441267,0.000000,1.000000
-2.125000,10.000000,0.650000,-0.439228,0.000000,1.000000
-2.125000,10.000000,0.300000,-0.452426,0.000000,1.000000
-2.125000,10.000000,0.900000,-0.429408,0.000000,1.000000
-2.125000,10.000000,0.550000,-0.443282,0.000000,1.000000
-2.125000,10.000000,0.750000,-0.435273,0.000000,1.000000
-2.125000,10.000000,0.800000,-0.433312,0.000000,1.000000
-2.125000,10.000000,0.850000,-0.431358,0.000000,1.000000
-2.125000,10.000000,0.400000,-0.448769,0.000000,1.000000
-2.125000,10.000000,1.000000,-0.430351,0.000000,1.000000
-2.125000,25.000000,0.250000,-0.431563,0.000000,1.000000
-2.125000,25.000000,0.550000,-0.408382,0.000000,1.000000
-2.125000,25.000000,0.350000,-0.423888,0.000000,1.000000
-2.125000,25.000000,0.050000,-0.447018,0.000000,1.000000
-2.125000,25.000000,0.750000,-0.392396,0.000000,1.000000
-2.125000,25.000000,0.500000,-0.412300,0.000000,1.000000
-2.125000,25.000000,0.800000,-0.388341,0.000000,1.000000
-2.125000,25.000000,0.450000,-0.416185,0.000000,1.000000
-2.125000,25.000000,0.150000,-0.439264,0.000000,1.000000
-2.125000,25.000000,0.100000,-0.443133,0.000000,1.000000
-2.125000,10.000000,0.950000,-0.432039,0.000000,1.000000
-2.125000,25.000000,0.600000,-0.404428,0.000000,1.000000
-2.125000,25.000000,0.300000,-0.427724,0.000000,1.000000
-2.125000,25.000000,0.000000,-0.450920,0.000000,1.000000
-2.125000,25.000000,0.200000,-0.436749,0.000000,1.000000
-2.125000,25.000000,0.400000,-0.420045,0.000000,1.000000
-2.125000,25.000000,0.900000,-0.380183,0.000000,1.000000
-2.125000,25.000000,0.950000,-0.376082,0.000000,1.000000
-2.125000,25.000000,1.000000,-0.371969,0.000000,1.000000
-2.125000,25.000000,0.850000,-0.384270,0.000000,1.000000
-2.125000,25.000000,0.650000,-0.400444,0.000000,1.000000
-2.125000,25.000000,0.700000,-0.396431,0.000000,1.000000
-2.125000,50.000000,0.000000,-0.444178,0.000000,1.000000
-2.125000,50.000000,0.050000,-0.425788,0.000000,1.000000
-2.125000,50.000000,0.100000,-0.430221,0.000000,1.000000
-2.125000,50.000000,0.250000,-0.405782,0.000000,1.000000
-2.125000,50.000000,0.150000,-0.422017,0.000000,1.000000
-2.125000,50.000000,0.850000,-0.310946,0.000000,1.000000
-2.125000,50.000000,0.200000,-0.413872,0.000000,1.000000
-2.125000,50.000000,0.350000,-0.389756,0.000000,1.000000
-2.125000,50.000000,0.400000,-0.381810,0.000000,1.000000
-2.125000,50.000000,0.800000,-0.318886,0.000000,1.000000
-2.125000,50.000000,0.450000,-0.373902,0.000000,1.000000
-2.125000,50.000000,0.650000,-0.342492,0.000000,1.000000
-2.125000,50.000000,0.300000,-0.397745,0.000000,1.000000
-2.125000,50.000000,0.750000,-0.326783,0.000000,1.000000
-2.125000,50.000000,0.500000,-0.366024,0.000000,1.000000
-2.125000,50.000000,0.950000,-0.294900,0.000000,1.000000
-2.125000,50.000000,0.700000,-0.334647,0.000000,1.000000
-2.125000,50.000000,1.000000,-0.286785,0.000000,1.000000
-2.125000,50.000000,0.900000,-0.302953,0.000000,1.000000
-2.125000,50.000000,0.600000,-0.350329,0.000000,1.000000
-2.125000,50.000000,0.550000,-0.358169,0.000000,1.000000
-1.875000,10.000000,0.050000,-0.523548,0.000000,1.000000
-1.875000,10.000000,0.100000,-0.527216,0.000000,1.000000
-1.875000,10.000000,0.150000,-0.519440,0.000000,1.000000
-1.875000,10.000000,0.200000,-0.520082,0.000000,1.000000
-1.875000,10.000000,0.000000,-0.524794,0.000000,1.000000
-1.875000,10.000000,0.300000,-0.515586,0.000000,1.000000
-1.875000,10.000000,0.250000,-0.518273,0.000000,1.000000
-2.125000,100.000000,0.750000,-0.175230,0.000000,1.000000
-1.875000,10.000000,0.400000,-0.520749,0.000000,1.000000
-1.875000,10.000000,0.550000,-0.517223,0.000000,1.000000
-1.875000,10.000000,0.600000,-0.516028,0.000000,1.000000
-1.875000,10.000000,0.650000,-0.514827,0.000000,1.000000
-1.875000,10.000000,0.700000,-0.513619,0.000000,1.000000
-1.875000,10.000000,0.850000,-0.509976,0.000000,1.000000
-1.875000,10.000000,0.800000,-0.511193,0.000000,1.000000
-1.875000,10.000000,0.350000,-0.521895,0.000000,1.000000
-1.875000,10.000000,0.950000,-0.507537,0.000000,1.000000
-1.875000,10.000000,0.750000,-0.512408,0.000000,1.000000
-1.875000,10.000000,0.450000,-0.519586,0.000000,1.000000
-1.875000,10.000000,1.000000,-0.506316,0.000000,1.000000
-1.875000,10.000000,0.500000,-0.518410,0.000000,1.000000
-2.125000,100.000000,0.250000,-0.346538,0.000000,1.000000
-1.875000,10.000000,0.900000,-0.508757,0.000000,1.000000
-2.125000,100.000000,0.100000,-0.394466,0.000000,1.000000
-2.125000,100.000000,0.200000,-0.363229,0.000000,1.000000
-2.125000,100.000000,0.000000,-0.427403,0.000000,1.000000
-2.125000,100.000000,0.700000,-0.193936,0.000000,1.000000
-2.125000,100.000000,0.500000,-0.262547,0.000000,1.000000
-2.125000,100.000000,0.150000,-0.379217,0.000000,1.000000
-2.125000,100.000000,0.400000,-0.296117,0.000000,1.000000
-2.125000,100.000000,0.550000,-0.245953,0.000000,1.000000
-2.125000,100.000000,0.800000,-0.157532,0.000000,1.000000
-2.125000,100.000000,0.950000,-0.095541,0.000000,1.000000
-2.125000,100.000000,0.050000,-0.409636,0.000000,1.000000
-2.125000,100.000000,0.850000,-0.138252,0.000000,1.000000
-1.875000,25.000000,0.000000,-0.522225,0.000000,1.000000
-2.125000,100.000000,1.000000,-0.069962,0.000000,1.000000
-2.125000,100.000000,0.600000,-0.228661,0.000000,1.000000
-2.125000,100.000000,0.350000,-0.312898,0.000000,1.000000
-2.125000,100.000000,0.650000,-0.211445,0.000000,1.000000
-1.875000,25.000000,0.050000,-0.510329,0.000000,1.000000
-2.125000,100.000000,0.300000,-0.329710,0.000000,1.000000
-2.125000,100.000000,0.450000,-0.279346,0.000000,1.000000
-2.125000,100.000000,0.900000,-0.117810,0.000000,1.000000
-1.875000,25.000000,0.100000,-0.514441,0.000000,1.000000
-1.875000,25.000000,0.350000,-0.487988,0.000000,1.000000
-1.875000,25.000000,0.400000,-0.483673,0.000000,1.000000
