alpha,N_species,mu,mean_leading_eigenvalue,extinction_counter, attempt_counter
-2.125000,10.000000,-0.100000,nan,0.000000,5.000000
-2.125000,10.000000,-0.090000,nan,0.000000,5.000000
-2.125000,10.000000,-0.080000,nan,0.000000,5.000000
-2.125000,10.000000,-0.070000,nan,0.000000,5.000000
-2.125000,10.000000,-0.060000,nan,0.000000,5.000000
-2.125000,10.000000,-0.050000,nan,0.000000,5.000000
-2.125000,10.000000,-0.040000,nan,0.000000,5.000000
-2.125000,10.000000,-0.030000,nan,0.000000,5.000000
-2.125000,25.000000,-0.080000,nan,0.000000,5.000000
-2.125000,25.000000,-0.100000,nan,0.000000,5.000000
-2.125000,25.000000,-0.090000,nan,0.000000,5.000000
-2.125000,25.000000,-0.070000,nan,0.000000,5.000000
-2.125000,25.000000,-0.050000,nan,0.000000,5.000000
-2.125000,25.000000,-0.060000,nan,0.000000,5.000000
-2.125000,25.000000,-0.030000,nan,0.000000,5.000000
-2.125000,25.000000,-0.040000,nan,0.000000,5.000000
-2.125000,25.000000,-0.020000,nan,0.000000,5.000000
-2.125000,50.000000,-0.040000,nan,0.000000,5.000000
-2.125000,50.000000,-0.090000,nan,0.000000,5.000000
-2.125000,50.000000,-0.100000,nan,0.000000,5.000000
-2.125000,50.000000,-0.070000,nan,0.000000,5.000000
-2.125000,50.000000,-0.060000,nan,0.000000,5.000000
-2.125000,50.000000,-0.080000,nan,0.000000,5.000000
-2.125000,50.000000,-0.050000,nan,0.000000,5.000000
-2.125000,50.000000,-0.020000,nan,0.000000,5.000000
-2.125000,50.000000,-0.030000,nan,0.000000,5.000000
-2.125000,50.000000,-0.010000,nan,0.000000,5.000000
-2.125000,10.000000,-0.020000,-0.215740,0.000000,1.000000
-2.125000,10.000000,0.000000,-0.454346,0.000000,1.000000
-2.125000,10.000000,-0.010000,-0.353658,0.000000,1.000000
-2.125000,10.000000,0.050000,-0.724018,0.000000,1.000000
-2.125000,10.000000,0.020000,-0.574002,0.000000,1.000000
-2.125000,10.000000,0.070000,-0.805299,0.000000,1.000000
-2.125000,10.000000,0.080000,-0.849754,0.000000,1.000000
-2.125000,10.000000,0.060000,-0.767575,0.000000,1.000000
-2.125000,10.000000,0.090000,-0.888811,0.000000,1.000000
-2.125000,10.000000,0.100000,-0.926729,0.000000,1.000000
-2.125000,10.000000,0.030000,-0.630300,0.000000,1.000000
-2.125000,25.000000,-0.010000,-0.051880,0.000000,1.000000
