NoNoise,Noise_0.001,Noise_0.01,Noise_0.1
1.052252970566309509e+00,1.050187702862926287e+00,9.273038252068049880e-01,1.742122306149472555e-01
1.089639313490444739e+00,1.089405718068191531e+00,9.447045215744896973e-01,3.061395545529871365e-02
7.969913993285158149e-01,7.937499807289626341e-01,1.338024385469254396e+00,1.350977587911606770e-01
8.077003589893025914e-01,8.079368485827691515e-01,7.481729821462967944e-01,2.115699374626025531e-01
1.012347416354451024e+00,1.011424433235713183e+00,8.694810877942626970e-01,1.360264471717637647e-01
8.953184846415318532e-01,7.242890810175622862e-01,4.415543412513458499e+00,6.469505929389798293e-01
8.765663189265424649e-01,8.755135373539866261e-01,7.359603441564999127e-01,6.203054034605990363e-01
1.116981696900263277e+00,1.114662450126473692e+00,9.064628590112169260e-01,1.164403634452022135e-01
8.615678721595794176e-01,8.583352854167610735e-01,7.460633703853153387e-01,8.760856118877281551e-01
7.480508582814929808e-01,7.475862205763774693e-01,6.993773967062181240e-01,1.921718046498673838e-01
1.025400870433280875e+00,8.592042260660222031e-01,7.050057989930593294e+00,2.862057410945592073e-01
1.049447692473583826e+00,2.079386519116052412e+01,7.648930943044440767e-01,2.550930785324591055e-01
1.063301800480469073e+00,1.060268122715196881e+00,9.134723187429930613e-01,5.736241347787116723e-02
9.311368333494073335e-01,7.901926170105071368e-01,6.149926716096162593e+00,4.387039179679724232e-01
6.223529503717710742e-01,6.220896562655713335e-01,6.105952037438431290e-01,3.254148673041377116e+00
9.044768524154648270e-01,7.367570392768915122e-01,6.770032956023416260e-01,2.533705644803892487e-01
1.118369226151602502e+00,1.117078937521139625e+00,9.564659741795317194e-01,1.615848295443647609e-01
1.032472456615443956e+00,1.030580840548567911e+00,8.966239765535689576e-01,1.700178798071369513e-01
1.038441198551892208e+00,1.037485957826447480e+00,8.862824375059856763e-01,1.176286032563496065e-01
6.488668438248245129e-01,6.487687471115863858e-01,6.321260329121128896e-01,2.795873582344068353e-01
7.496171424444518783e-01,1.470459211382098985e+01,6.454654991024300070e-01,2.201830649161928000e-01
9.762585101530687481e-01,2.798839557413578483e+00,7.227657505396599680e-01,2.088985702237937114e-01
8.399708217329987514e-01,8.403252331339480241e-01,7.809949663898725358e-01,1.896196550634276223e-01
7.170743171691750240e-01,7.168687016455326244e-01,6.801676291851646017e-01,4.325480036678025497e-01
1.067205531325266854e+00,1.065710311856453485e+00,9.085220203764029501e-01,2.612915580614736388e-01
9.268134986480802695e-01,9.252706976627036450e-01,8.370068055327661849e-01,1.631281835105726497e-01
1.045625977085174130e+00,1.044507632776972228e+00,9.095967859398254030e-01,1.789991049814740331e-01
9.131956328048390636e-01,7.415095741356056980e-01,6.769101420093289745e-01,3.243645978741394598e-01
9.022931627223224060e-01,2.996639997927279975e+00,1.637631257211998204e+00,1.004016393490738013e+00
