NoNoise,Noise_0.001,Noise_0.01,Noise_0.1
5.698123378788390037e-01,-3.887453739306797988e-03,-2.224205605853915232e-02,1.869282030159316252e-02
3.266731014778101461e-01,-7.861348347720450297e-03,-4.480523569717034110e-03,-3.008095844128837529e-02
5.764990347154664851e-01,-1.161074118095007865e-02,-9.763216765091705610e-04,3.206435991390776952e-01
1.230863132484075084e+00,-3.722118401137590547e-03,-1.848287951647888810e-02,1.043277071731682382e+00
4.459795978426949192e-01,2.081987104461438065e+01,5.207596129386345835e-02,2.070152360440912886e+00
6.385545456803413122e-01,-9.626086677145316226e-03,-1.992706953341405463e-02,-1.897634987764946352e-02
-3.640990341972910049e-01,2.279250963995086199e+00,5.148413280700710359e+00,8.749145761258503295e-02
1.160096986477257230e+00,2.312368168139666391e+00,3.876583390960107067e+00,2.416235077480607951e-01
7.461957141015100881e-01,8.241509390806197460e-04,-2.034485601881472552e-02,-8.177240906845162013e-03
5.216594305550208421e-01,-1.050430319038936008e-02,-6.126933247722757443e-03,1.620285570907603612e-02
1.596022644364172294e+00,-3.564780694197960866e-03,-5.142555296793835211e-03,-2.252314149040914384e-02
1.316479961952327304e+00,2.019572884774461716e-02,2.808932322336064047e+00,2.955329919333252064e+00
-2.084548711803824728e-01,-3.517308773881201549e-03,-8.929900577888616464e-03,4.073402010900505077e-02
6.145152448636663767e-01,3.156849097530734394e+00,2.653141417485430642e-01,2.725242668233263110e+00
4.659862609418098378e-01,-2.148209405029548671e-02,-5.599130086533076617e-03,-2.142298909132956883e-02
8.075388856349394739e-01,4.789618082828460466e+00,3.383156161668919859e-01,-1.001077699845793756e-01
4.986412369662265864e-01,-6.796222547905799924e-03,-1.715742078006819021e-02,-3.144799555632321608e-02
1.444914499371940497e+00,2.400052761044014354e-02,-6.498022765149477631e-02,2.538678789887563791e+00
1.180511142134630820e+00,4.287215219579552539e+00,2.560394343794437866e+00,1.014430128620036620e-01
5.782374415313190630e-01,5.006524684528832481e-01,3.304860937147519273e+00,-1.179121001946757327e-02
5.998000161257190932e-01,-9.152731512692946145e-03,-8.642000925853838417e-03,-4.667086562106131237e-02
3.707785682754252132e-01,9.877311624472235874e-01,9.121340010957977862e-01,-1.773257971690163359e-02
4.619285719925894540e+00,3.748069224271107114e+00,1.096521641474198727e+00,3.815937878777961423e+00
2.579472386859491539e-01,7.924548660150184887e+00,1.020493781718179449e-01,1.341421145542995852e-01
4.333888058902456430e-01,1.258780504148378165e+00,8.531201133571425510e-01,3.765842600213452074e-01
1.022052580153995027e+00,-1.120637095029749196e-02,-8.972939870602644752e-03,-2.811070171633339200e-03
3.012052941095207936e-01,-9.467933167527853994e-03,-1.183521255470916175e-02,-1.558979056533585372e-02
4.877652578107881109e-01,5.039888671475945436e+00,6.175160292917188265e+00,2.284769971326179760e+00
6.831866676945803629e-01,7.235873536169015185e-01,6.851804423253929244e+00,2.108107128989146484e-01
1.881376054453115287e+00,-2.054793449972599616e-03,-1.023590704369773015e-02,2.763994714080691972e-02
8.491898644817614805e-01,-6.539519545487179446e-03,-1.783814690002902617e-02,5.115870548621818115e-01
8.981239666704198266e-01,1.491103266056614363e+00,1.712950546904614679e+00,-1.403502477813424465e-02
1.065447959070316308e+00,4.550382986741668745e+00,5.026513855832281941e+00,9.457938256338112304e-02
4.169609980184629805e-01,5.656913704342290572e+00,3.705111268514228451e-01,1.105654179087648181e+00
8.134711708764197358e-01,-1.049760177197933339e-02,-1.121745286317650525e-03,1.344241707143824585e-02
6.877837090745800297e-02,-3.607766535744698268e-03,-1.013609195868267650e-02,2.726448013716054053e-02
3.166421992400744179e-01,6.311932559916825225e-01,6.150463113524994085e+00,2.956316962829296791e-01
6.808587723929639957e-01,-1.726713492356424934e-02,7.912910988092546338e-01,-8.123753578677398585e-03
